NAMA_DESA,KODE_DESA,LUAS,PENDUDUK,TOTAL_AREA
Banyuroto,34.01.090.001,7908.0,3894,996.9
Jatisarono,34.01.090.005,4984.0,5148,595.4
Jatimulyo,34.01.100.001,16291.0,7966,1770.0
Purwoharjo,34.01.110.003,10093.0,4114,1112.0
Gadingharjo,34.02.020.002,3079.0,3495,189.5
Donotirto,34.02.030.003,4707.0,9039,444.6
Srihardono,34.02.040.003,6867.0,12137,581.9
Gilangharjo,34.02.060.003,7260.0,14609,807.9
Bantul,34.02.070.003,5240.0,13781,401.8
Sumberagung,34.02.080.003,6353.0,11969,515.3
Selopamiro,34.02.090.001,22738.0,12437,1602.0
Girirejo,34.02.090.005,3100.0,4266,249.6
Dlingo,34.02.100.003,6555.0,5228,1356.0
Terong,34.02.100.006,7389.0,4833,985.8
Wonokromo,34.02.110.001,4342.0,8920,355.7
Segoroyoso,34.02.110.003,4871.0,5416,472.3
Sitimulyo,34.02.120.001,9406.0,11291,935.9
Jagalan,34.02.130.002,269.0,3288,69.5
Tamantirto,34.02.150.003,6720.0,13468,731.4
Triwidadi,34.02.160.001,12704.0,9554,1118.0
Giripurwo,34.03.010.004,25575.0,8937,2693.0
Girisekar,34.03.010.010,16816.0,7140,1376.0
Planjan,34.03.020.003,12488.0,6118,1430.0
Karangasem,34.03.020.009,12680.0,6550,903.6
Pampang,34.03.020.013,3713.0,2527,681.6
Banjarejo,34.03.030.003,16650.0,6030,1988.0
Purwodadi,34.03.030.007,21695.0,7866,2977.0
Jepitu,34.03.040.002,16734.0,4155,1338.0
Pucung,34.03.040.005,14426.0,3582,1446.0
Pucanganom,34.03.040.016,13486.0,4348,2986.0
Candirejo,34.03.050.002,22001.0,7577,2453.0
Genjahan,34.03.060.006,4630.0,5618,575.1
Tambakromo,34.03.060.009,11436.0,4182,1350.0
Bejiharjo,34.03.070.002,16469.0,15699,1474.0
Jatiayu,34.03.070.009,10427.0,8761,1609.0
Siraman,34.03.080.006,4450.0,4036,511.2
Piyaman,34.03.080.012,6845.0,6876,421.4
Dengok,34.03.090.005,4011.0,2458,288.1
Gading,34.03.090.011,7674.0,6463,1609.0
Pengkok,34.03.100.002,4587.0,3092,280.8
Putat,34.03.100.006,7168.0,3188,483.0
Patuk,34.03.100.008,2910.0,2350,437.7
Terbah,34.03.100.012,8588.0,5017,702.7
Pengol,34.03.110.003,8838.0,5301,645.7
Pilangrejo,34.03.110.009,8758.0,3739,542.0
Beji,34.03.120.002,8843.0,4763,422.8
Tanccep,34.03.120.006,5031.0,4925,489.8
Bulurejo,34.03.130.007,4108.0,3517,461.4
Sumberagung,34.04.010.003,8200.0,11405,1019.0
Sendangsari,34.04.020.004,4581.0,5210,369.9
Margoluwih,34.04.030.002,5000.0,7828,393.8
Margomulyo,34.04.030.003,5190.0,9502,426.3
Margokaton,34.04.030.005,5150.0,6840,443.9
Sidomulyo,34.04.040.003,2500.0,5703,375.4
Banyuraden,34.04.050.003,4000.0,10066,310.9
Tlogoadi,34.04.060.003,4820.0,8628,372.0
Sinduadi,34.04.060.005,7370.0,23798,629.7
Maguwoharjo,34.04.070.002,15010.0,20743,1301.0
Jogotirto,34.04.080.003,5840.0,8640,635.4
Wukirharjo,34.04.090.002,4750.0,2270,408.6
Tirtomartani,34.04.100.002,7530.0,11855,647.0
Widodomartani,34.04.110.003,6020.0,6271,450.2
Sardonoharjo,34.04.120.005,6090.0,10489,746.5
Pandowoharjo,34.04.130.004,7270.0,8560,744.2
Mororejo,34.04.140.005,3370.0,4524,392.8
Gedongkiwo,34.71.010.001,905.0,14450,82.7
Mantrijeron,34.71.010.003,858.0,11589,141.2
Keparakan,34.71.030.002,527.0,10371,38.5
Warungboto,34.71.040.004,824.0,8057,50.8
Baciro,34.71.060.001,1064.0,19230,67.3
Kotabaru,34.71.060.004,713.0,5466,56.5
Purwokinanti,34.71.080.001,332.0,8506,27.6
Pringgokusuman,34.71.120.001,459.0,14780,33.2
Bener,34.71.140.002,575.0,3934,62.0
plumbon,34.01.010.006,3037.0,2714,87.7
Kebonrejo,34.01.010.013,1724.0,1479,313.8
Karangwuluh,34.01.010.015,1296.0,1153,174.3
Karangwuni,34.01.020.001,7223.0,2755,569.2
Triharjo,34.01.020.006,3414.0,6717,458.3
Depok,34.01.030.005,2827.0,3057,253.7
Gotakan,34.01.030.008,3550.0,2895,273.3
Krembangan,34.01.030.011,5915.0,4714,762.3
Kranggan,34.01.040.003,2388.0,2426,370.3
